time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,queue-master_workload,shipping_workload,user_workload,orders_error,queue-master_error,shipping_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,queue-master_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,queue-master_latency-90,shipping_latency-90,user_latency-90
1702364551,3.1092763992595662,12.38922500000001,1.1081218274111586,0.34796536521932114,10.686011277940038,2.1372494195770546,0.4164667860758489,0.8032236135172346,1.0142107695863294,0.8741369741369597,0.00009961678789244385,0.41041463030112924,0.7472657924966881,2.5536784566046236,1.3937120470127158,214773760,104873984,12980224,434491392,109555712,320831488,52371456,12382208,282640384,94351360,4677632,2920448,297263104,18100224,72224768,18,6,2,6,6,2,6,22,0,0,0,0.02714124739527483,0.0032049346306123067,0.012250000000000002,0.030794164107485464,0.002361216730038023,0.003,0.0030505617977528094,0.0055411335738781665,0.07211356189898642,0.004968882335102152,0.022621428571428574,0.04650218027523022,0.004581749049429657,0.0046,0.004691011235955057,0.013976717966065052
1702364552,3.1092763992595662,16.88634066339911,1.1081218274111586,0.34796536521932114,10.686011277940038,2.355174304882689,0.4164667860758489,0.8032236135172346,1.0142107695863294,0.8741369741369597,0.00012122579008202315,0.41041463030112924,0.8823542242256323,2.502402861628325,1.21355443996897,214773760,104960000,12980224,434491392,109555712,320864256,52371456,12382208,282640384,94351360,4677632,2920448,297263104,18100224,72224768,4.02,4,1.984,5.984,6,2,6,29.952,0,0,0,0.027140657403207043,0.0031978402183285948,0.01225,0.030793761174660393,0.002361216730038023,0.003,0.0030505617977528094,0.0055410622786391936,0.07211308846241674,0.004956112392991471,0.022621428571428574,0.04650210012207194,0.004581749049429657,0.0046,0.004691011235955057,0.01397677914307046
1702364553,3.1092763992595662,19.814868083546873,1.1081218274111586,0.34485765124555323,10.686011277940038,2.355174304882689,0.4164667860758489,0.8032236135172346,1.0142107695863294,0.8741369741369597,0.00012122579008202315,0.41041463030112924,0.8823542242256323,2.451127266652026,1.152420205784593,214773760,104960000,12980224,434491392,109555712,320864256,52371456,12382208,282640384,94351360,4677632,2920448,297263104,18100224,72224768,12,8,2,10,10,2,10,45.869,0,0,0,0.026762820512820508,0.003197841726618705,0.01225,0.03079399141630901,0.002361216730038023,0.003,0.0030532527165932593,0.005541144964023241,0.07176315789473682,0.00495611510791367,0.022621428571428574,0.046502145922746776,0.004581749049429657,0.0046,0.004695854889867867,0.013976773787575421
1702364554,3.1092763992595662,19.814868083546873,1.1081218274111586,0.34485765124555323,10.686011277940038,2.355174304882689,0.4164667860758489,0.8032236135172346,1.0142107695863294,0.8741369741369597,0.00012122579008202315,0.41041463030112924,0.8823542242256323,3.081354924385047,1.12996382667678,214773760,104960000,12980224,434491392,109555712,320864256,52371456,12382208,282640384,94351360,4677632,2920448,297263104,18096128,72224768,12,6,2,4,6,2,5.984,14,0,0,0,0.026627604166666662,0.0031854545454545456,0.012065217391304348,0.030851063829787233,0.00237593984962406,0.003,0.003050139850063205,0.005602798708288482,0.07155913978494621,0.0049338181818181824,0.022586956521739133,0.04651063829787234,0.004595488721804511,0.0046,0.004690251730113768,0.01416723549488055
1702364555,3.1092763992595662,19.814868083546873,1.1081218274111586,0.34485765124555323,10.686011277940038,2.355174304882689,0.4241261368641953,0.8032236135172346,0.9357181830582592,0.8741369741369597,0.00012122579008202318,0.3432554062352282,0.8823542242256323,3.081354924385047,1.3795045133824773,214773760,104960000,12980224,434491392,109555712,320864256,52371456,12382208,282636288,94351360,4677632,2920448,297263104,18096128,72327168,21.893,11.964,1.988,9.976,10,2,9.976,47.905,0,0,0,0.02662698533525046,0.003185452767458852,0.01206521739130435,0.03085066108867879,0.00237593984962406,0.003,0.003050139850063205,0.005558966943728505,0.07155864057533262,0.004933814981425934,0.022586956521739133,0.04651055834610691,0.004595488721804511,0.0046,0.004690251730113768,0.014125060221289289
1702364556,3.1092763992595662,19.814868083546873,1.1081218274111586,0.34485765124555323,10.686011277940038,2.355174304882689,0.4241261368641953,0.7975268506067896,0.9357181830582592,0.9038368219763915,0.00012122579008202318,0.336415162396876,0.8823542242256323,3.081354924385047,1.3795045133824773,214773760,104960000,12980224,434491392,109555712,320864256,52371456,12251136,282636288,94359552,4677632,2920448,297263104,18096128,72327168,6,5.984,1.984,5.968,2,2,4,37.905,0,0,0,0.026594627854445236,0.003191937686108533,0.012065217391304348,0.030879009090999724,0.0023782771535580524,0.003,0.00305,0.005543663179154449,0.0715319246520312,0.0049454878349953595,0.022586956521739133,0.04651478515872575,0.004595505617977528,0.0046,0.004690000000000001,0.013928124871426337
1702364557,3.1092763992595662,19.814868083546873,1.1079793033034973,0.34485765124555323,10.686011277940038,2.355174304882689,0.4241261368641953,0.7966199380321771,1.0134209600844082,0.9038368219763915,0.00012122579008202318,0.4030641494514209,0.8823542242256323,3.081354924385047,1.3795045133824773,214773760,104960000,12988416,434491392,109555712,320864256,52371456,12251136,282636288,94359552,4677632,2916352,297263104,18096128,72327168,22.024,18.016,2.004,2,2,2,2,32.028,0,0,0,0.02659515814489553,0.0031944956095303913,0.012065217391304348,0.030879294339755666,0.0023782771535580524,0.003,0.00305,0.005543714798804855,0.0715323414211396,0.004950092097154704,0.022586956521739133,0.04651484184637605,0.004595505617977528,0.0046,0.004690000000000001,0.01392808583853009
1702364558,3.1092763992595662,19.814868083546873,1.1079793033034973,0.34485765124555323,10.686011277940038,2.0578123716119268,0.4241261368641953,0.7966199380321771,1.0134209600844082,0.9038368219763915,0.00012122579008202318,0.4030641494514209,0.8823542242256323,3.081354924385047,1.3795045133824773,214773760,104960000,12988416,434491392,109555712,320864256,52371456,12251136,282636288,94359552,4677632,2916352,297263104,18096128,72327168,32,8,2,16,14,2,15.94,132,0,0,0,0.026776485788113688,0.0031944954128440366,0.012065217391304348,0.030879237288135592,0.0023782771535580524,0.003,0.003053413315297428,0.005543704474505723,0.07163101604278073,0.004950091743119266,0.022586956521739133,0.046514830508474575,0.004595505617977528,0.0046,0.00469614396753537,0.01392809364548495
1702364559,3.1092763992595662,19.814868083546873,1.1079793033034973,0.34485765124555323,10.686011277940038,2.0989451733471767,0.4241261368641953,0.7966199380321771,1.0134209600844082,0.9038368219763915,0.00012122579008202318,0.4030641494514209,0.8823542242256323,3.081354924385047,1.3795045133824773,214773760,104960000,12988416,434491392,109555712,320864256,52371456,12251136,282636288,94359552,4677632,2916352,297263104,18096128,72327168,17.976,15.964,1.988,4,6,2,4,23.976,0,0,0,0.026927707381857912,0.0031857920285474173,0.011384615384615384,0.031010463178273093,0.0024052044609665425,0.003,0.00305,0.005651678704255783,0.07194711817007306,0.00493442565138535,0.02246153846153846,0.04671272691644655,0.0046,0.0046,0.004690000000000001,0.014007003256984469
1702364560,3.1092763992595662,19.814868083546873,0.9421069427323464,0.34485765124555323,10.686011277940038,2.140077975082426,0.4241261368641953,0.7966199380321771,1.0134209600844082,0.9038368219763915,0.00012122579008202318,0.4030641494514209,0.8823542242256323,3.081354924385047,1.3795045133824773,214773760,104960000,12988416,434491392,109555712,320864256,52371456,12251136,282636288,94359552,4677632,2916352,297263104,18096128,72327168,22,14,2,8,10,2,7.976,38,0,0,0,0.026928020565552692,0.003185792349726776,0.011384615384615384,0.03101063829787234,0.0024052044609665425,0.003,0.0030500008543276175,0.005685035389282104,0.07194736842105262,0.004934426229508198,0.02246153846153846,0.046712765957446806,0.0046,0.0046,0.004690001537789712,0.01427110389610391
